Place_Name,Origin,County,Place_Description,Additional_Info,PO_Start,PO_End,JoinID,Match,GlobalID,CreationDate,Creator,EditDate,Editor
Aaron,,Benton,,,1889,1890,,No,{61777e18-ae79-4dfc-8a73-ea2d5af12baf},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:07:26.981,cjsuther_tntech
Aaron,,Bradley,,"Name changed to McDonald. Bradley County, in 1860.",1860,1860,,No,{eab2c4ab-21f5-4e40-92a5-79a45a74c17a},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:07:33.484,cjsuther_tntech
Aaron,,Knox,,"Former name of the Bearden Hill area of Knoxville. See Bearden, Knox Co.",,,,No,{eb1ff522-1073-43eb-9cba-a69106049e7d},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:07:38.594,cjsuther_tntech
Abbott,,Campbell,,,1890,1892,,No,{6cf3d59d-e9fd-4d6f-bb61-4ea71ae774b8},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:07:50.436,cjsuther_tntech
Abbotts Mills,,Rutherford,,,1830,1845,,No,{3b28c074-048e-4096-b0fd-2b51631428ce},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:07:57.249,cjsuther_tntech
Abel,,Cumberland,,,1899,1899,,No,{93017ef9-d69c-4cf9-b527-0576bcee34a3},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:08:06.151,cjsuther_tntech
Abernathy,,Lauderdale,,,1881,1891,769,Yes,{d66945a1-1241-455c-974c-4efebc976062},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 19:51:35.398,cjsuther_tntech
Abiff,"Name is alleged to have come about as the result of a proposed fist fight ""I'm going to give him a biff."" A 'biff"" is a slang term meaning  a blow, to strike someone, to deal one a blow.",Dickson,,"Previously known as Browns Station, a railroad station.",1887,1906,33266,Yes,{2765f793-f797-465e-9658-6398153d2d0e},3/24/2025 19:38:21.242,cjsuther_tntech,4/2/2025 17:28:32.469,cjsuther_tntech
Abington,,McMinn,,,,,,No,{3a01e79a-16ab-4953-958c-ffc83cda9b7c},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:08:17.599,cjsuther_tntech
Abrams Chapel,,Hardin,,,,,,No,{80dc0fe6-af2a-46b1-9aff-0282889f76d5},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:08:38.344,cjsuther_tntech
Acadia,,Fayette,,,1834,1836,,No,{aad13e8a-835d-4607-a5e9-2290615d0d07},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:08:50.415,cjsuther_tntech
Accident,,Jackson,,,1891,1905,,No,{c2e1a070-2145-41ae-aecc-f37b027994b2},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:08:59.992,cjsuther_tntech
Acedemia,,Knox,,"Post office was discontinued in 1844 but reestablished in 1846.
Post office name changed to Leggs Station in 1858",1835,1858,,No,{53095381-3af4-4c44-86e3-51596f446f15},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:09:05.298,cjsuther_tntech
Acklena,,Shelby,,,,,29146,Yes,{fb800f09-dc25-4ac0-bebf-c043eb9ebf03},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:09:15.631,cjsuther_tntech
Acme Mill,,McMinn,,,,,30059,Yes,{56f52b1e-4f06-45f6-98e0-331ae09d9712},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:09:30.039,cjsuther_tntech
Acorn,Presumably named for the fruit or nut of an oak tree. Most likely for the abundance of oaks in the area.,Monroe,,,1889,1935,29889,Yes,{26862627-5765-4936-9925-f47b2f034bf3},3/24/2025 19:38:21.242,cjsuther_tntech,4/2/2025 17:28:56.395,cjsuther_tntech
Acorn Hill,,Dickson,,,,,31161,Yes,{9dd06296-3626-4be6-bd4d-386d2f004129},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:09:43.025,cjsuther_tntech
Acres,,Benton,,,1881,1881,,No,{a1a90d7e-1b07-457e-b4f1-8c688c9e0744},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:09:53.191,cjsuther_tntech
Acting,,Loudon,,,1890,1903,,No,{1c6a6de9-c20c-4e24-ab9d-6166921c6787},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:10:03.843,cjsuther_tntech
Action,,McNairy,,"Two sources spell it Action and two others spell it Acton.
Frazier, D., 1984, 574 spells it Action.",1899,1904,,No,{b8e6a301-5848-4211-8e0e-e9bb7c025fb4},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:10:13.871,cjsuther_tntech
Acton,"Alternate spelling. See Action, McNairy Co.",McNairy,,"Two sources spell it Action and two others spell it Acton.
Frazier, D., 1984, 574 spells it Action.",,,30089,Yes,{a66e4287-7a97-4fa3-8ad5-c61a82eb6074},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:10:23.891,cjsuther_tntech
Acuff,,Union,,,,1903,26323,Yes,{8c1a440d-130d-49d7-915c-3d2b81193847},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:10:37.805,cjsuther_tntech
Ada,,Giles,,,1895,1898,,No,{2a25e8e8-43ff-409d-abb0-37b20167bf0c},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:10:50.641,cjsuther_tntech
Ada,,Henderson,,Post office name changed to Farmville in 1887.,1880,1887,,No,{4cd021d2-cd96-474c-a40a-dffff779947b},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:10:57.413,cjsuther_tntech
Adair,Named for Tennessee pioneer John Adair.,Madison,,Post office name changed from Grady to Adair in 1892.,1892,1903,12182,Yes,{23bad1dc-cbda-4e43-906e-73aef80e2930},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:11:08.617,cjsuther_tntech
Adairs Creek,Probably named for famous Tennessee pioneer John Adair who had a station in Knoxville.,Knox,,,1879,1891,,No,{39a32661-5e39-47e0-a8a2-a4e60aa89933},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:11:16.901,cjsuther_tntech
Adairs Station,Named for pioneer John Adair.,Knox,,"Also see Adairs Creek, Knox County.",,,,No,{53bf22fb-9347-4f3c-9386-b7210054e7d0},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:11:27.057,cjsuther_tntech
Adams,"1. Named for James Reuban Adams, who donated land for the town site. 2. Named for Thomas J. Adams who was its first postmaster (1860). 3. Named for president John Quincy Adams.",Robertson,,Formerly called Adams Station. Name changed to Adams in 1898.,1898,,1052,Yes,{f75b5e84-78ed-413b-8b31-998939743b7c},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:11:38.264,cjsuther_tntech
Adams Crossroads,"
See def. for term 'crossroads' in Glossary.",Dickson,,Also known as Adams Cross Roads. See definition for term 'crossroads' in Glossary.,,,,No,{8a1321b4-1ce5-476a-a67a-fac7645c644c},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:14:08.728,cjsuther_tntech
Adams Ford,"
 See definition for the term ""ford.""",Cumberland,,,,1913,3971,Yes,{c54dc7e5-1e00-49af-903e-d9bb362e4414},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:14:36.747,cjsuther_tntech
Adams Station,"See Adams, Robertson Co.  See def. for the term 'station' in Glossary.",Robertson,,Adams Station was changed to Adams in 1898.,1860,1898,1052,Yes,{8686fa34-2a63-4420-974e-550a1302d089},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:14:55.373,cjsuther_tntech
Adamsburg,,Benton,,,,1858,,No,{ef16ce7d-42af-45e1-9ba4-f77be5c20b59},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:15:04.832,cjsuther_tntech
Adams Grove,,Wilson,,,,,,No,{76a8f60e-ebc3-4904-8b5e-7c8439c0b466},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:15:26.432,cjsuther_tntech
Adams Mill,,Washington,,,,,,No,{65ec3d03-7ff6-4ce4-9972-9945d57fbf02},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:15:32.679,cjsuther_tntech
Adamsville,"Named for George D. Adams, who est. a post office and operated an inn here.",McNairy,,,,,30980,Yes,{72cd7517-d150-4291-b204-84fa45f6d809},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:15:49.402,cjsuther_tntech
Adcock,,Knox,,,,1899,,No,{8a018dd0-55a3-41b3-8a03-fd8b0b96ec8e},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:16:02.432,cjsuther_tntech
Addie,,Davidson,,,,1912,1385,Yes,{90454547-eb62-4898-93b7-027d30825ca1},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:16:15.811,cjsuther_tntech
Addison,,McMinn,,,,,34082,Yes,{b815a944-0357-461d-a2dc-79f4719b2264},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:16:31.486,cjsuther_tntech
Adenburgh,,Dickson,,,,,,No,{d066659a-7bf4-430e-9e39-9290e0e7402a},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:16:40.273,cjsuther_tntech
Adkins Mill,,Morgan,,,,,8559,Yes,{a7e90ca7-04a0-41dc-a309-14f1b761767b},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:17:21.875,cjsuther_tntech
Adler Springs,"Probably named for the Alder tree (Alnus spp.) Alder is the common name of a genus of flowering plants belonging to the birch family Betulaceae. The genus comprises about 30 species of monoecious trees and shrubs, a few reaching a large size.",Union,,,,,,No,{028370f3-f640-4535-a30c-67fcf75d23c6},3/24/2025 19:38:21.242,cjsuther_tntech,4/2/2025 17:31:42.278,cjsuther_tntech
Adolphus,"Probably named for Adolphus M. Cook, its first postmaster (1882).",Loudon,,,1882,1903,31378,Yes,{40eee772-5e76-427a-b764-7aa04f2f9f22},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:17:42.328,cjsuther_tntech
Aethra,,Lewis,,,,,31403,Yes,{5329379e-2f51-4ee0-955e-7c2940a6be88},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:17:57.458,cjsuther_tntech
Aetna,"Probably named for the Aetna Furnace, a charcoal furnace used to make wood into charcoal for iron making and working.",Hickman,,"Prior to the Civil War, the community developed around the furnace.  Aetna or Etna is the name of a volcano in Italy.",,1967,31545,Yes,{09c489a2-b1bd-438e-8eb2-42e2e2377142},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:18:14.994,cjsuther_tntech
Aetna,,Marion,,,,,4314,Yes,{52c55416-523e-4c4f-95a4-de10387966e4},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:18:41.135,cjsuther_tntech
Afton,Believed named for a river in SE Scotland by early Scots or Scots-Irish settlers. The river is mentioned in a Robert Burnes poem.,Greene,,Formerly called Hendersons Mill and/or Home in honor of  Joseph Henderson an early settler in the area. The first and second postmasters of the community were also Hendersons (Robert and Joseph respectively) which are also possible namesakes.,,,34006,Yes,{7153a50b-be76-40d9-89b7-d61f07025cc7},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:18:54.216,cjsuther_tntech
Afton,,Shelby,,,,1856,,No,{b3ef8958-2242-456a-9caf-171d6640be7c},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:19:05.358,cjsuther_tntech
Afton,,Sullivan,,,,1899,,No,{c1dd8fbc-8103-413b-9d56-3115c1324196},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:19:10.079,cjsuther_tntech
Afton Crossroads,"See Afton, Green County",Greene,,"Also see Hendersons Station, Hendersons Mill and Hendersons Home, Greene Co.",,,34006,Yes,{bbbf48e6-ebaf-424b-b480-51dc6a6e2d77},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:22:02.013,cjsuther_tntech
Agency,,Meigs,,,,1904,7230,Yes,{58c02853-755e-4b46-b398-795e172ae4f6},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:22:12.569,cjsuther_tntech
Agree,,Campbell,,,,1917,330,Yes,{2803ce87-39c8-4a35-a478-7811280be88f},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:22:44.457,cjsuther_tntech
Agreeable,,Grainger,,,,1901,330,Yes,{6a489757-9f56-41d7-a10a-bb5b37050ed8},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:22:55.831,cjsuther_tntech
Ai,"Before the RR, a post office called Ai was established. This name is believed to be borowed from a Biblical city of Canaanites",Putnam,,"Former name of Baxter, Putnam Co. Mine Lick before that.",,1902,,No,{fd3ec6cf-9879-4b41-9c37-002d9fa5a1cb},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:23:05.163,cjsuther_tntech
Ailor,,Union,,"See also Ailor Gap, Union Co.",,1902,1241,Yes,{376fc28f-35b3-46ee-a913-41eb1f408219},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:23:17.272,cjsuther_tntech
Ailor Gap,Named for a James Ailor wo settled this community around 1785.,Union,,"See Ailor, Union Co.",,,1241,Yes,{fe5a554c-68f8-4eab-9a9a-71e502250bfc},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:23:29.660,cjsuther_tntech
Ajax,,Greene,,,,1901,,No,{f9c2d732-70d6-4dbc-9fe9-07b1af94538c},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:23:40.457,cjsuther_tntech
Akeman Crossroad(s),See def. for term 'crossing' in Glossary.,Meigs,,,,,29466,Yes,{ad6efa36-a1ba-4553-8a44-5c3f08ffc85e},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:23:54.477,cjsuther_tntech
Adkins Chapel,,Decatur,,,,,,No,{4346c07c-f6d2-4f95-8bff-3937d2cad414},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:33:58.741,cjsuther_tntech
Akins Corner,"
See definition for term ""corner.""",Tipton,,,,,32798,Yes,{0bcec3f4-7fb7-4573-bcb6-7a17409f457b},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:34:15.827,cjsuther_tntech
Akinton,,Hardin,,,,1887,,No,{8c7238a6-f1d6-49e0-94c3-24c0c7e03901},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:34:26.928,cjsuther_tntech
Alackman,,Rutherford,,,,,,No,{1833c8db-d085-447c-b507-be0c9faf777f},3/24/2025 19:38:21.242,cjsuther_tntech,3/24/2025 20:34:38.675,cjsuther_tntech
