place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
19,Action,McNairy,1899.0,1904.0,30088.0,1275443.0,Acton,McNairy,Populated Place,95.9090909090909,FUZZY_GENERAL,"Fuzzy match (score: 90.9090909090909), same county"
28,Adams Crossroads,Dickson,,,33685.0,1314561.0,Adams Crossroads,Dickson,Populated Place,100.0,EXACT_MATCH,Exact name and county match
32,Adams Grove,Wilson,,,32788.0,1312808.0,Adams Grove,Wilson,Populated Place,100.0,EXACT_MATCH,Exact name and county match
33,Adams Mill,Washington,,,29464.0,1314562.0,Adams Mill,Washington,Populated Place,100.0,EXACT_MATCH,Exact name and county match
40,Adler Springs,Union,,,32157.0,1314573.0,Alder Springs,Union,Populated Place,97.3076923076923,FUZZY_GENERAL,"Fuzzy match (score: 92.3076923076923), same county"
46,Afton,Shelby,,1856.0,34005.0,1304773.0,Afton,Greene,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
47,Afton,Sullivan,,1899.0,34005.0,1304773.0,Afton,Greene,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
57,Adkins Chapel,Decatur,,,27755.0,1310568.0,Akins Chapel,Decatur,Populated Place,100.0,FUZZY_GENERAL,"Fuzzy match (score: 96.0), same county"
60,Alackman,Rutherford,,,33070.0,1305271.0,Blackman,Rutherford,Populated Place,92.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), same county"
65,Albany,Henry,,1872.0,29519.0,1314570.0,Albany,Greene,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
66,Alberton,Fentress,,,30303.0,1314571.0,Alberton,Henderson,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
74,Alder Springs,Union,,,32157.0,1314573.0,Alder Springs,Union,Populated Place,100.0,EXACT_MATCH,Exact name and county match
85,Alexandria,Madison,,,30868.0,1313829.0,Alexandria,DeKalb,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
93,Allen,Hawkins,,,30353.0,1647231.0,Allen,Meigs,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
94,Allen,Meigs,,,30353.0,1647231.0,Allen,Meigs,Populated Place,100.0,EXACT_MATCH,Exact name and county match
96,Allen Store,Meigs,,,30353.0,1647231.0,Allen,Meigs,Populated Place,95.0,NAME_VARIATION,Name variation: allen
98,Allendale,Hawkins,,,33115.0,1308407.0,Allandale,Hawkins,Populated Place,93.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), same county"
99,Allens,Haywood,,1900.0,30436.0,1275607.0,Allens,Haywood,Populated Place,100.0,EXACT_MATCH,Exact name and county match
102,Allens Creek,Sullivan,,1920.0,982.0,1649942.0,Allens Creek (historical),Lewis,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
102,Allens Creek,Sullivan,,1920.0,6423.0,1275609.0,Allens Creek,Lewis,Stream,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
102,Allens Creek,Sullivan,,1920.0,6424.0,1275609.0,Allens Creek,Wayne,Stream,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
108,Allensville,Maury,,,314.0,1312976.0,Allensville (historical),Sevier,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county"
111,Allenville,Sevier,,1966.0,314.0,1312976.0,Allensville (historical),Sevier,Populated Place,100.0,FUZZY_GENERAL,"Fuzzy match (score: 95.23809523809523), same county"
135,Alto,Franklin,,,33983.0,1304815.0,Alto,Franklin,Populated Place,100.0,EXACT_MATCH,Exact name and county match
