place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
4,Abbotts Mills,Rutherford,1830.0,1845.0,31929.0,1314612.0,Babbs Mill,Greene,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 78.26086956521739), different county"
12,Acedemia,Knox,1835.0,1858.0,27710.0,1647494.0,Macedonia,Haywood,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.58823529411764), different county"
12,Acedemia,Knox,1835.0,1858.0,28045.0,1311939.0,Macedonia,Sumner,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.58823529411764), different county"
12,Acedemia,Knox,1835.0,1858.0,28942.0,1310126.0,Macedonia,Monroe,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.58823529411764), different county"
17,Acres,Benton,1881.0,1881.0,28468.0,1281601.0,Creson,Lincoln,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
17,Acres,Benton,1881.0,1881.0,32306.0,1327502.0,Barnes,Washington,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
17,Acres,Benton,1881.0,1881.0,33383.0,1276340.0,Barnes,Pickett,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
18,Acting,Loudon,1890.0,1903.0,27690.0,1306664.0,Lancing,Morgan,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
18,Acting,Loudon,1890.0,1903.0,30088.0,1275443.0,Acton,McNairy,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
18,Acting,Loudon,1890.0,1903.0,1221.0,1307457.0,Farthing (historical),Johnson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
22,Ada,Giles,1895.0,1898.0,28452.0,1304763.0,Adams,Robertson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
22,Ada,Giles,1895.0,1898.0,29013.0,1275447.0,Adair,Madison,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
23,Ada,Henderson,1880.0,1887.0,28452.0,1304763.0,Adams,Robertson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
