place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
0,Aaron,Benton,1889.0,1890.0,6369.0,1275414.0,Aaron Branch,Scott,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
0,Aaron,Benton,1889.0,1890.0,6482.0,1275413.0,Aaron Branch,Lawrence,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
0,Aaron,Benton,1889.0,1890.0,10730.0,1304754.0,Aaron Branch,Jackson,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
1,Aaron,Bradley,1860.0,1860.0,6369.0,1275414.0,Aaron Branch,Scott,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
1,Aaron,Bradley,1860.0,1860.0,6482.0,1275413.0,Aaron Branch,Lawrence,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
1,Aaron,Bradley,1860.0,1860.0,10730.0,1304754.0,Aaron Branch,Jackson,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
2,Aaron,Knox,,,6369.0,1275414.0,Aaron Branch,Scott,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
2,Aaron,Knox,,,6482.0,1275413.0,Aaron Branch,Lawrence,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
2,Aaron,Knox,,,10730.0,1304754.0,Aaron Branch,Jackson,Stream,80.0,NAME_VARIATION,Name variation: aaron branch
3,Abbott,Campbell,1890.0,1892.0,8557.0,1275416.0,Abbott Branch,Benton,Stream,80.0,NAME_VARIATION,Name variation: abbott branch
5,Abel,Cumberland,1899.0,1899.0,16671.0,1304756.0,Abel Valley,Roane,Valley,80.0,NAME_VARIATION,Name variation: abel valley
8,Abington,McMinn,,,29560.0,1279237.0,Byington,Knox,Populated Place,77.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), different county"
9,Abrams Chapel,Hardin,,,19101.0,1275433.0,Abrams Gap,Blount,Gap,75.0,FIRST_WORD,"First word match, different county"
9,Abrams Chapel,Hardin,,,2328.0,1275431.0,Abrams Falls,Blount,Falls,75.0,FIRST_WORD,"First word match, different county"
9,Abrams Chapel,Hardin,,,12690.0,1304758.0,Abrams Creek,Blount,Stream,75.0,FIRST_WORD,"First word match, different county"
10,Acadia,Fayette,1834.0,1836.0,27712.0,1314593.0,Arcadia,Sullivan,Populated Place,82.3076923076923,FUZZY_GENERAL,"Fuzzy match (score: 92.3076923076923), different county"
25,Adairs Creek,Knox,1879.0,1891.0,16231.0,1275467.0,Adams Creek,Cumberland,Stream,76.95652173913044,FUZZY_GENERAL,"Fuzzy match (score: 86.95652173913044), different county"
35,Adcock,Knox,,1899.0,26905.0,1647195.0,Adcock Hollow,Morgan,Valley,80.0,NAME_VARIATION,Name variation: adcock hollow
68,Albright,Sumner,,,19855.0,1275526.0,Albright Hollow,Lincoln,Valley,80.0,NAME_VARIATION,Name variation: albright hollow
75,Alderville,Scott,,1914.0,1389.0,1310776.0,Haglerville (historical),Henry,Populated Place,75.71428571428572,FUZZY_GENERAL,"Fuzzy match (score: 85.71428571428572), different county"
79,Alex,Davidson,,1890.0,17048.0,1275543.0,Alex Hollow,Perry,Valley,80.0,NAME_VARIATION,Name variation: alex hollow
79,Alex,Davidson,,1890.0,6844.0,1275541.0,Alex Branch,Sequatchie,Stream,80.0,NAME_VARIATION,Name variation: alex branch
79,Alex,Davidson,,1890.0,10223.0,1275542.0,Alex Branch,Morgan,Stream,80.0,NAME_VARIATION,Name variation: alex branch
82,Alexanders Mills,Henderson,,1897.0,33266.0,1314576.0,Alexander Mill,Greene,Populated Place,83.33333333333333,FUZZY_GENERAL,"Fuzzy match (score: 93.33333333333333), different county"
89,Alice,Benton,,1896.0,13489.0,1304799.0,Alice Creek,Morgan,Stream,80.0,NAME_VARIATION,Name variation: alice creek
90,Alisonia,Franklin,1850.0,1851.0,29123.0,1304808.0,Allisona,Williamson,Populated Place,77.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), different county"
90,Alisonia,Franklin,1850.0,1851.0,29124.0,1304808.0,Allisona,Rutherford,Populated Place,77.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), different county"
97,Allendale,Claiborne,,,32911.0,1283661.0,Ellendale,Shelby,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county"
97,Allendale,Claiborne,,,33115.0,1308407.0,Allandale,Hawkins,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county"
101,Allens Chapel,DeKalb,,,30436.0,1275607.0,Allens,Haywood,Populated Place,80.0,NAME_VARIATION,Name variation: allens
