place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
11,Accident,Jackson,1891.0,1905.0,,,,,,0.0,NO_MATCH,No confident match found
52,Ai,Putnam,,1902.0,,,,,,0.0,NO_MATCH,No confident match found
55,Ajax,Greene,,1901.0,,,,,,0.0,NO_MATCH,No confident match found
77,Alemeda,Greene,,1901.0,,,,,,0.0,NO_MATCH,No confident match found
114,Alleyjays,Blount,,1924.0,,,,,,0.0,NO_MATCH,No confident match found
133,Altacrest,Fentress,,1928.0,,,,,,0.0,NO_MATCH,No confident match found
146,Alvinyork,Fentress,,1923.0,,,,,,0.0,NO_MATCH,No confident match found
171,Andalusia,Gibson,1852.0,1859.0,,,,,,0.0,NO_MATCH,No confident match found
191,Anikusatyi,Marion,,,,,,,,0.0,NO_MATCH,No confident match found
195,Annis,Marshall,,1915.0,,,,,,0.0,NO_MATCH,No confident match found
216,Antioch Post Office,Gibson,,,,,,,,0.0,NO_MATCH,No confident match found
227,Balkom,Decatur,,1900.0,,,,,,0.0,NO_MATCH,No confident match found
439,Bekke,Morgan,,1911.0,,,,,,0.0,NO_MATCH,No confident match found
446,Belboro,Williamson,,1832.0,,,,,,0.0,NO_MATCH,No confident match found
523,Ben Post Office,Maury,,,,,,,,0.0,NO_MATCH,No confident match found
581,Bianco,Scott,1879.0,1880.0,,,,,,0.0,NO_MATCH,No confident match found
817,Bon Air Coal Mines,White,,1894.0,,,,,,0.0,NO_MATCH,No confident match found
881,Alexander # 1,Madison,,,,,,,,0.0,NO_MATCH,No confident match found
920,Mile Post 42,Dickson,,,,,,,,0.0,NO_MATCH,No confident match found
1270,Carsons Iron Works,Blount,1833.0,1834.0,,,,,,0.0,NO_MATCH,No confident match found
10443,Vanderbilt,Unicoi,,,,,,,,0.0,NO_MATCH,No confident match found
10567,Abecochees,,,,,,,,,0.0,NO_MATCH,No confident match found
10675,Weatherly Switch,Bradley,,,,,,,,0.0,NO_MATCH,No confident match found
11367,Amos Eatons (Heatons) New Station,Davidson,,,,,,,,0.0,NO_MATCH,No confident match found
11391,A. B. C.,Sumner,1880.0,1914.0,,,,,,0.0,NO_MATCH,No confident match found
11396,Benjamin Williams Settlement,,,,,,,,,0.0,NO_MATCH,No confident match found
11397,Benjamin Hardins Settlement,,,,,,,,,0.0,NO_MATCH,No confident match found
