place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes,Place_Name,County,place_lat,place_lon,gaz_id,gnis_lat,gnis_lon,distance_miles
0,Aaron,Benton,1889.0,1890.0,6369.0,1275414.0,Aaron Branch,Scott,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Benton,36.0773,-88.0589,1275414,36.4745,-84.5872,195.31723681499227
0,Aaron,Benton,1889.0,1890.0,6482.0,1275413.0,Aaron Branch,Lawrence,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Benton,36.0773,-88.0589,1275413,35.2145,-87.3972,70.24719174563242
0,Aaron,Benton,1889.0,1890.0,10730.0,1304754.0,Aaron Branch,Jackson,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Benton,36.0773,-88.0589,1304754,36.3545,-85.6472,135.8004313564703
1,Aaron,Bradley,1860.0,1860.0,6369.0,1275414.0,Aaron Branch,Scott,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Bradley,35.159,-84.8766,1275414,36.4745,-84.5872,92.33270990899129
1,Aaron,Bradley,1860.0,1860.0,6482.0,1275413.0,Aaron Branch,Lawrence,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Bradley,35.159,-84.8766,1275413,35.2145,-87.3972,142.3910186304057
1,Aaron,Bradley,1860.0,1860.0,10730.0,1304754.0,Aaron Branch,Jackson,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Bradley,35.159,-84.8766,1304754,36.3545,-85.6472,93.22387010515459
2,Aaron,Knox,,,6369.0,1275414.0,Aaron Branch,Scott,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Knox,36.0045,-83.9372,1275414,36.4745,-84.5872,48.65092634341152
2,Aaron,Knox,,,6482.0,1275413.0,Aaron Branch,Lawrence,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Knox,36.0045,-83.9372,1275413,35.2145,-87.3972,201.87737972060387
2,Aaron,Knox,,,10730.0,1304754.0,Aaron Branch,Jackson,Stream,80.0,NAME_VARIATION,Name variation: aaron branch,Aaron,Knox,36.0045,-83.9372,1304754,36.3545,-85.6472,98.38977681952203
9,Abrams Chapel,Hardin,,,19101.0,1275433.0,Abrams Gap,Blount,Gap,75.0,FIRST_WORD,"First word match, different county",Abrams Chapel,Hardin,35.1845,-88.2472,1275433,35.6856,-83.9207,246.00451261509076
9,Abrams Chapel,Hardin,,,2328.0,1275431.0,Abrams Falls,Blount,Falls,75.0,FIRST_WORD,"First word match, different county",Abrams Chapel,Hardin,35.1845,-88.2472,1275431,35.6856,-83.9207,246.00451261509076
